Column,reference,text,name,normalized,cluster_key_collision,cluster_levenshtein,cluster_levenshtein_radius2,cluster_levenshtein_block5
38,069:025, i-na ka-<$a>-ad m.ap-pí-ha a-na mah-ri-ia, m.ap-pí-ha, m.ap-pí-ha, m.ap-pí-ha, m.ap-pí-ha, m.ap-pí-ha, m.ap-pí-ha
39,069:029, m.ap-pí-ha LÚ-ka ki g[áb-bi], m.ap-pí-ha, m.ap-pí-ha, m.ap-pí-ha, m.ap-pí-ha, m.ap-pí-ha, m.ap-pí-ha
40,070:001, [m.ri-ib-d.IßKUR iq-bi], [m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
41,071:001, [a-na m.]ha-ia  pa-sí-t[e], m.]ha-ia, m.ha-ia, m.ha-ia, m.ha-ia, m.ha-ia, m.ha-ia
42,071:002, [um-]ma m.ri-ib-d.IßKUR, m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
43,071:017, m.ÌR-a-$i-ir-ta ÌR, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
44,072:003, [$a-a m.ÌR-a-$i-ir-t]a UGU-ia, m.ÌR-a-$i-ir-t]a, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
45,073:001, a-na m.a-ma-an-ap-pa a-bi-ia, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa, m.a-ma-an-ap-pa
46,073:002, um-ma m.ri-ib-ad-da DUMU-ka-ma, m.ri-ib-ad-da, m.ri-ib-ad-da, m.ri-ib-ad-da, m.ri-ib-ad-di, m.ri-ib-ad-di, m.ri-ib-ad-di
47,073:018, [ú]-ul i-ra-a-mu a-na m.ÌR-a-$i-ir-ta, m.ÌR-a-$i-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
